front,back,formula,source,tags,analogy,key_insight,technical,connections,practical,extra
What are the two steps of Lloyd's K-means algorithm?,Assignment step (assign points to nearest centroid) and Update step (recalculate centroids),,ML Fundamentals,k-means lloyds-algorithm,"Like a dance where partners (points) choose their favorite dancer (centroid), then dancers move to the center of their group, repeat until everyone is happy.

ALGORITHM STEPS:
• E-STEP (Assignment): Hard assignment - each point belongs to exactly one cluster (contrast with soft assignment in EM)
• M-STEP (Update): Recalculate centroids as means",,,"• Similar to EM algorithm structure
• Coordinate descent optimization",,
What is the EM algorithm?,Expectation-Maximization algorithm for finding parameters when latent variables exist,,ML Fundamentals,EM algorithm latent-variables,"Like trying to learn two things at once - ""If I knew which cluster each point belonged to, I could estimate cluster parameters. If I knew cluster parameters, I could assign points to clusters."" EM solves this circular dependency.

KEY CONCEPT: Latent variables - hidden/unobserved variables (like cluster membership)",Latent variables - hidden/unobserved variables (like cluster membership),,"• Generalizes K-means (soft assignment vs hard)
• Related to variational inference","• Gaussian Mixture Models
• Hidden Markov Models
• Factor analysis
• Missing data imputation",
What is the E-step in EM algorithm?,Calculate expectation of log-likelihood given current parameters,"\[Q(θ|θ^{(t)}) = E[\log L(θ|X,Z)|X,θ^{(t)}]\]",TOPICS.md,EM e-step expectation,,"""Given my current model, how likely is each data point to belong to each cluster?""

KEY CONCEPT: Computes soft assignments (probabilities) rather than hard assignments

GAUSSIAN MIXTURE EXAMPLE: For each point, calculate probability it came from each Gaussian component using current means/covariances",Takes expectation over latent variables Z given observed data X and current parameters,"• Similar to K-means assignment step but with probabilities
• Creates ""responsibility"" matrix showing how responsible each cluster is for each point",,
How does EM algorithm apply to Gaussian Mixture Models?,"E-step computes responsibilities (soft assignments), M-step updates means, covariances, and mixing coefficients","\\[\\gamma_{ik} = \\frac{\\pi_k N(x_i|\\mu_k,\\Sigma_k)}{\\sum_j \\pi_j N(x_i|\\mu_j,\\Sigma_j)}\\]",Exam Q3c,EM GMM gaussian-mixture-models,,,,,"E-STEP (Compute Responsibilities):
• γ_ik = probability that point i belongs to Gaussian k
• Uses current parameters (μ_k, Σ_k, π_k)
• Bayes rule: posterior ∝ prior × likelihood

M-STEP (Update Parameters):
• π_k = (1/n)Σ_i γ_ik  [mixing coefficient]
• μ_k = Σ_i(γ_ik × x_i) / Σ_i γ_ik  [weighted mean]
• Σ_k = Σ_i γ_ik(x_i - μ_k)(x_i - μ_k)^T / Σ_i γ_ik  [weighted covariance]

KEY DIFFERENCES FROM K-MEANS:
• Soft assignments (probabilities) vs hard assignments
• Updates covariances (cluster shapes) not just means
• Can model elliptical clusters of different sizes",
What are the convergence properties of the EM algorithm?,"EM guarantees monotonic increase in likelihood, converges to local maximum, but not necessarily global maximum",\\[L(\\theta^{(t+1)}) \\geq L(\\theta^{(t)})\\],Exam Q3d,EM convergence properties,,,,,,"CONVERGENCE GUARANTEES:

1. MONOTONIC INCREASE: Log-likelihood never decreases
   • Each iteration improves (or maintains) the solution
   • Mathematical proof via Jensen's inequality

2. LOCAL MAXIMUM: Converges to local optimum
   • NOT guaranteed to find global maximum
   • Result depends on initialization

3. CONVERGENCE CRITERIA:
   • Change in log-likelihood < ε (e.g., 10^-6)
   • Change in parameters < threshold
   • Maximum iterations reached

4. RATE OF CONVERGENCE:
   • Linear convergence near optimum (can be slow)
   • May need many iterations for high precision

5. PRACTICAL ISSUES:
   • Multiple random initializations recommended
   • Can get stuck in poor local maxima
   • Singularities possible (e.g., Gaussian collapses to single point)

IMPROVEMENTS:
• Use K-means++ for initialization
• Add regularization to prevent singularities
• Monitor for degenerate solutions"
What is the M-step in EM algorithm?,Find parameters that maximize the expectation from E-step,\[θ^{(t+1)} = \arg\max Q(θ|θ^{(t)})\],TOPICS.md,EM m-step maximization,,"""Given these soft assignments, what are the best parameters for my model?""

KEY CONCEPT: Uses weighted versions of standard estimators

GAUSSIAN MIXTURE EXAMPLE:
• Update means using weighted averages (weights = responsibilities from E-step)
• Update covariances using weighted sample covariances

WEIGHTED UPDATES: Each data point contributes to parameter estimates proportional to its assignment probability",,"• Generalizes K-means centroid update (hard weights vs soft weights)
• Maximum likelihood estimation with weighted data",,
What is a neural network?,"Computational model inspired by biological neurons, with layers of interconnected nodes",,ML Fundamentals,neural-networks definition,"Like a simplified brain where artificial neurons receive signals, process them, and pass signals forward. Each connection has a ""strength"" (weight).",,,"• Generalize linear regression (single layer = linear regression)
• Logistic regression (single layer + sigmoid)","Image recognition, NLP, game playing, drug discovery",
What is the forward pass in neural networks?,Process of computing output by propagating input through network layers,\[h = \sigma(Wx + b)\],TOPICS.md,neural-networks forward-pass,"Like a factory assembly line where each layer transforms the input, passing it to the next station. Raw materials (input) → processed goods (hidden layers) → final product (output).",,"Matrix operations are highly parallelizable, efficient on GPUs | • Layer-by-layer: Output of layer i becomes input to layer i+1
• Information flow: Only forward direction during inference (no feedback loops like RNNs)",,,
What is backpropagation?,Algorithm for computing gradients of loss function with respect to network weights,\[\frac{\partial L}{\partial W} = \frac{\partial L}{\partial h} \cdot \frac{\partial h}{\partial W}\],TOPICS.md,neural-networks backpropagation,"Like tracing responsibility for a mistake backwards through a company hierarchy - ""How much did each department contribute to the final error?""

MATHEMATICAL BASIS: Chain rule - technique for computing derivatives of composite functions",,"1. Forward pass computes predictions
2. Compute loss
3. Backward pass computes gradients
4. Update weights",,,
What is the ReLU activation function?,"Rectified Linear Unit: outputs input if positive, zero otherwise","\[ReLU(x) = \max(0, x)\]",ML Fundamentals,neural-networks activation-function relu,"Like an electrical switch - if signal is positive, let it through; if negative, block it completely.",,"• Gradient: ∂ReLU/∂x = 1 if x>0, else 0 (undefined at 0, usually set to 0)
• Somewhat resembles biological neuron firing patterns",,,
What is gradient descent?,Optimization algorithm that iteratively updates parameters in direction of steepest descent,\[θ = θ - α∇J(θ)\],ML Fundamentals,optimization gradient-descent,"Like hiking down a mountain in fog - you can only see your immediate surroundings, so you always step in the steepest downward direction.

LEARNING RATE (α): Step size - too large and you overshoot the valley, too small and training is slow",,,,,
What is linear regression?,Statistical method for modeling relationship between dependent variable and independent variables,\[y = β_0 + β_1x_1 + β_2x_2 + ... + ε\],ML Fundamentals,linear-regression supervised-learning,,"Finding the ""best-fit line"" through data points - like drawing a straight line through a scatter plot that minimizes distances to points.",,"Foundation for logistic regression, neural networks (single layer), polynomial regression",,
What is the normal equation for linear regression?,Closed-form solution for optimal parameters,\[β = (X^TX)^{-1}X^Ty\],ML Fundamentals,linear-regression normal-equation,,,,,"• Small datasets
• Few features (<10k)
• Want exact solution",
What is Ridge regression?,Linear regression with L2 regularization to prevent overfitting,\[\hat{β} = (X^TX + λI)^{-1}X^Ty\],TOPICS.md,ridge-regression regularization,Like speed limits for coefficients - prevents any single coefficient from becoming too large and dominating the model.,,,,,
What is the difference between Ridge and Lasso regression?,"Ridge uses L2 penalty (squared weights), Lasso uses L1 penalty (absolute weights)",,ML Fundamentals,regularization ridge lasso,,"Ridge constraint is a circle (smooth), Lasso is a diamond (corners). Corners of diamond cause coefficients to hit exactly zero.

FEATURE SELECTION:
• Lasso: Automatically selects features (sparse solutions)
• Ridge: Keeps all features but shrinks them

CORRELATED FEATURES:
• Ridge: Spreads weights evenly among correlated features
• Lasso: Arbitrarily picks one","• Ridge: Has closed-form solution
• Lasso: Requires iterative algorithms

ELASTIC NET: Combines both penalties - L1 for sparsity, L2 for groupings

WHEN TO USE:
• Lasso: When you believe few features matter
• Ridge: When many features contribute",,"• Lasso: When you believe few features matter
• Ridge: When many features contribute",
What is logistic regression?,Classification algorithm using logistic function to model probability of binary outcomes,\[p = \frac{1}{1 + e^{-z}}\],ML Fundamentals,logistic-regression classification,"Like a smooth switch that gradually transitions from 0 to 1, instead of linear regression's unlimited range.

LINEAR PREDICTOR: z = β₀ + β₁x₁ + β₂x₂ + ... (same as linear regression)

SIGMOID FUNCTION: Maps any real number to (0,1) interval - perfect for probabilities!

DECISION BOUNDARY: When p = 0.5, z = 0, so β₀ + β₁x₁ + ... = 0 defines boundary

ODDS INTERPRETATION: log(p/(1-p)) = z, so coefficients represent log-odds ratios",,,"• Generalized Linear Model (GLM)
• Neural network with single layer + sigmoid activation",,
How is Maximum Likelihood Estimation used in logistic regression?,MLE finds parameters that maximize probability of observed labels given features,\\[L(\\beta) = \\prod_{i=1}^n p_i^{y_i}(1-p_i)^{1-y_i}\\],Exam Q7c,logistic-regression MLE maximum-likelihood,,,,,,"MLE FOR LOGISTIC REGRESSION:

1. LIKELIHOOD FUNCTION:
   • For binary classification
   • p_i = σ(β^T x_i) = probability of class 1
   • Product over all samples

2. LOG-LIKELIHOOD (easier to work with):
   ℓ(β) = Σ[y_i log p_i + (1-y_i)log(1-p_i)]
   • Converts product to sum
   • Same as negative cross-entropy loss!

3. OPTIMIZATION:
   • No closed-form solution (unlike linear regression)
   • Use gradient ascent (or descent on negative log-likelihood)
   • Gradient: ∇ℓ = X^T(y - p)

4. CONNECTION TO LOSS:
   • Minimizing cross-entropy = maximizing likelihood
   • Probabilistic interpretation of classification

5. REGULARIZATION:
   • Add penalty: ℓ(β) - λ||β||^2
   • MAP estimation with Gaussian prior"
How does gradient descent work specifically for logistic regression?,"Updates weights using gradient of log-likelihood, which simplifies to prediction error times features",\\[\\beta_{new} = \\beta_{old} + \\alpha X^T(y - p)\\],Exam Q7d,logistic-regression gradient-descent optimization,,,"for epoch in range(n_epochs):
       p = sigmoid(X @ β)  # predictions
       error = y - p       # residuals
       β = β + α * X.T @ error  # update

4. STOCHASTIC VARIANT:
   • Use mini-batches instead of full dataset
   • Faster convergence, helps escape local minima

5. CONVERGENCE:
   • Convex problem → global optimum guaranteed
   • Learning rate crucial: too large → oscillation
   • Can use adaptive rates (Adam, RMSprop)",,,
What is the softmax function?,Generalization of logistic function for multi-class classification,\[p_i = \frac{\exp(w_i^T x)}{\sum_j \exp(w_j^T x)}\],TOPICS.md,logistic-regression softmax multi-class,"Like a talent competition where each class ""competes"" with a score (w_i^T x), and probabilities are determined by relative performance.",,,"• Reduces to sigmoid for binary case
• Used as final layer in neural networks for classification",Often used with cross-entropy loss and one-hot encoded targets,
What is entropy in decision trees?,Measure of impurity or randomness in a dataset,\[H(S) = -\sum p_i \log_2(p_i)\],TOPICS.md,decision-trees entropy,"Like measuring ""surprise"" in a message - if all examples are same class (pure), entropy = 0 (no surprise). If equal mix of classes, entropy is maximum (most surprise).

DECISION MAKING: Entropy guides tree splits - we want to ask questions that reduce uncertainty the most

BINARY EXAMPLE:
• 50-50 split has entropy = 1 bit
• 90-10 split has entropy ≈ 0.47 bits",,,"• Related to information gain, Gini impurity (similar concept)
• Shannon information theory",Lower entropy after split means better question/split,
What is information gain?,Reduction in entropy after splitting on an attribute,"\[IG(S,A) = H(S) - \sum \frac{|S_v|}{|S|} H(S_v)\]",TOPICS.md,decision-trees information-gain,,,,,,Used to select best attribute for splitting at each node
What is Gini impurity?,Alternative to entropy for measuring node impurity,\[Gini = 1 - \sum p_i^2\],ML Fundamentals,decision-trees gini-impurity,,,,,,"Computationally faster than entropy, similar results"
What is Random Forest?,Ensemble method combining multiple decision trees with bagging,,ML Fundamentals,ensemble random-forest decision-trees,,,,,,Reduces variance and overfitting compared to single decision tree
What is Support Vector Machine (SVM)?,Classification algorithm that finds optimal hyperplane maximizing margin between classes,,ML Fundamentals,SVM classification margin,"Like drawing the widest possible ""no man's land"" between two armies - points closest to border (support vectors) determine the boundary.

GEOMETRIC INTUITION:
• In 2D: Finds line with maximum distance to nearest points from each class
• In higher dimensions: Finds hyperplane

SPARSE SOLUTION: Only support vectors matter for decision boundary - can ignore all other training points!","• In 2D: Finds line with maximum distance to nearest points from each class
• In higher dimensions: Finds hyperplane

SPARSE SOLUTION: Only support vectors matter for decision boundary - can ignore all other training points!",,,,
What is the SVM primal objective function?,Minimize weights while allowing some misclassification,\[\min \frac{1}{2}||w||^2 + C\sum ξ_i\],TOPICS.md,SVM primal objective,,,,,,C controls trade-off between margin size and misclassification penalty
What is the SVM constraint?,Points must be on correct side of margin or pay penalty,\[y_i(w^Tx_i + b) ≥ 1 - ξ_i\],TOPICS.md,SVM constraint slack-variables,,,,,,ξᵢ are slack variables allowing soft margin
What is soft margin SVM and why is it needed?,Allows some misclassifications using slack variables when data is not linearly separable,\\[\\min \\frac{1}{2}||w||^2 + C\\sum \\xi_i\\],Exam Q8d,SVM soft-margin slack-variables,,,,,,"SOFT MARGIN MOTIVATION:

1. REAL DATA PROBLEMS:
   • Rarely perfectly separable
   • Outliers can drastically affect hard margin
   • Noise in labels

2. SLACK VARIABLES (ξ_i):
   • Allow points to violate margin
   • ξ_i = 0: correctly classified beyond margin
   • 0 &lt; ξ_i &lt; 1: correctly classified within margin
   • ξ_i &gt; 1: misclassified

3. TRADE-OFF PARAMETER C:
   • Large C: Less tolerance for errors (approaches hard margin)
   • Small C: More tolerance, simpler boundary
   • Cross-validation to choose optimal C

4. MODIFIED CONSTRAINTS:
   y_i(w^Tx_i + b) ≥ 1 - ξ_i  (instead of ≥ 1)
   ξ_i ≥ 0

5. INTERPRETATION:
   • First term: Maximize margin
   • Second term: Minimize classification errors
   • C controls balance

6. ROBUSTNESS: Less sensitive to outliers than hard margin"
What is the kernel trick in SVM?,Technique to implicitly map data to higher-dimensional space for non-linear classification,,ML Fundamentals,SVM kernel-trick,,,,,,"Common kernels: linear, polynomial, RBF (Gaussian)"
What is Naive Bayes classifier?,Probabilistic classifier based on Bayes theorem with strong independence assumption,\[P(C|X) = \frac{P(X|C)P(C)}{P(X)}\],ML Fundamentals,naive-bayes classification bayes-theorem,,,,,,Assumes features are conditionally independent given class
What is the naive independence assumption?,Features are conditionally independent given the class label,"\[P(x_1,...,x_n|C) = \prod P(x_i|C)\]",ML Fundamentals,naive-bayes independence-assumption,,,,,,Simplifies computation but often violated in practice
What is Laplace smoothing?,Technique to handle zero probabilities by adding small constant to counts,"\[P(x_i|C) = \frac{count(x_i,C) + α}{count(C) + α|V|}\]",ML Fundamentals,naive-bayes laplace-smoothing,,,,,,"α is smoothing parameter (usually 1), |V| is vocabulary size"
How do you calculate Naive Bayes predictions step-by-step?,"Compute prior P(C), likelihoods P(x_i|C) for each feature, multiply together, normalize",\\[P(C|X) \\propto P(C) \\prod_{i=1}^n P(x_i|C)\\],Exam Q9d,naive-bayes calculation example,,,,,,"STEP-BY-STEP CALCULATION EXAMPLE:

Problem: Classify email as spam/ham given words
Features: ""free"", ""money"", ""hello""

1. CALCULATE PRIORS:
   P(spam) = 40/100 = 0.4
   P(ham) = 60/100 = 0.6

2. CALCULATE LIKELIHOODS (with Laplace α=1):
   P(""free""|spam) = (15+1)/(40+2) = 0.38
   P(""free""|ham) = (5+1)/(60+2) = 0.10
   P(""money""|spam) = (10+1)/(40+2) = 0.26
   P(""money""|ham) = (2+1)/(60+2) = 0.05
   P(""hello""|spam) = (5+1)/(40+2) = 0.14
   P(""hello""|ham) = (30+1)/(60+2) = 0.50

3. COMPUTE POSTERIORS (unnormalized):
   P(spam|""free,money,hello"") ∝ 0.4 × 0.38 × 0.26 × 0.14 = 0.0055
   P(ham|""free,money,hello"") ∝ 0.6 × 0.10 × 0.05 × 0.50 = 0.0015

4. NORMALIZE:
   P(spam|X) = 0.0055/(0.0055+0.0015) = 0.79
   P(ham|X) = 0.0015/(0.0055+0.0015) = 0.21

5. CLASSIFY: Predict spam (higher probability)

LOG-SPACE TRICK: Use log probabilities to avoid underflow"
What is the bias-variance tradeoff?,Fundamental tradeoff between model complexity and generalization ability,\[Error = Bias^2 + Variance + Noise\],ML Fundamentals,bias-variance tradeoff,"Archery target
• Bias = systematic error (consistently missing target in same direction)
• Variance = inconsistency (shots scattered around)",,,,,
What is bias in machine learning?,Error from overly simplistic assumptions in learning algorithm,,ML Fundamentals,bias underfitting,,,,,,High bias leads to underfitting and poor performance on training data
What is variance in machine learning?,Error from sensitivity to small fluctuations in training set,,ML Fundamentals,variance overfitting,,,,,,High variance leads to overfitting and poor generalization
What is Bayes error?,Lowest possible error rate for any classifier on a given problem,,ML Fundamentals,bayes-error irreducible-error,,,,,,Represents irreducible error due to noise and overlapping classes
What is accuracy?,Fraction of correct predictions out of total predictions,\[Accuracy = \frac{TP + TN}{TP + TN + FP + FN}\],ML Fundamentals,evaluation accuracy,,"""How often is the model right?""

IMBALANCED DATA TRAP: 99% accuracy sounds great, but if 99% of data is negative class, a ""always predict negative"" model achieves this!

MEDICAL EXAMPLE: Cancer screening with 1% cancer rate - 99% accuracy might mean missing all cancer cases",,,,
What is precision?,Fraction of true positives among predicted positives,\[Precision = \frac{TP}{TP + FP}\],TOPICS.md,evaluation precision,"Like quality control in manufacturing - ""Of all products we labeled as 'good', what fraction actually are good?""",,,,"• Email spam: High precision means few legitimate emails marked as spam
• Medical: High precision means few healthy patients diagnosed with disease

TRADE-OFF: Increasing precision often decreases recall (fewer positive predictions overall)

EXTREME CASE: Predict positive only when 100% certain → perfect precision but terrible recall",
What is recall (sensitivity)?,Fraction of true positives among actual positives,\[Recall = \frac{TP}{TP + FN}\],TOPICS.md,evaluation recall sensitivity,"""Of all people who are actually lost, how many did we find?"" Missing people (false negatives) is catastrophic.",,,,"• Medical screening: High recall means catching most disease cases, even if some false alarms
• Security: Airport screening prioritizes recall - better to flag innocent travelers than miss threats",
What is F1-score?,Harmonic mean of precision and recall,\[F1 = \frac{2 \times Precision \times Recall}{Precision + Recall}\],TOPICS.md,evaluation f1-score,"Like finding the sweet spot between two competing goals - quality (precision) vs completeness (recall).

HARMONIC MEAN: Penalizes extreme values more than arithmetic mean - if either precision or recall is low, F1 is low",,,,,
What is specificity?,Fraction of true negatives among actual negatives,\[Specificity = \frac{TN}{TN + FP}\],ML Fundamentals,evaluation specificity,,,,,,"Answers: Of all actual negatives, how many were correctly identified?"
What are the 6 phases of CRISP-DM?,"Business Understanding, Data Understanding, Data Preparation, Modeling, Evaluation, Deployment",,ML Fundamentals,CRISP-DM methodology,,,,,,Iterative process for data mining projects
What is data normalization?,"Scaling features to have similar ranges, typically [0,1]",\[x_{norm} = \frac{x - x_{min}}{x_{max} - x_{min}}\],ML Fundamentals,preprocessing normalization,,,,,,Prevents features with large scales from dominating
What is data standardization?,Scaling features to have zero mean and unit variance,\[x_{std} = \frac{x - μ}{σ}\],ML Fundamentals,preprocessing standardization z-score,,,,,,"Results in standard normal distribution (mean=0, std=1)"
What is cross-validation?,Technique for assessing model performance by splitting data into multiple train/validation sets,,ML Fundamentals,evaluation cross-validation,,,,,,"K-fold CV divides data into k subsets, trains k times"
What is overfitting?,Model performs well on training data but poorly on unseen data,,ML Fundamentals,overfitting generalization,"Like a student who memorizes textbook problems perfectly but fails on new exam questions - learned specific examples, not general principles.",,,,,
What is underfitting?,Model is too simple to capture underlying patterns in data,,ML Fundamentals,underfitting bias,Like trying to describe a symphony with only three notes - missing essential complexity.,,,,,
What is a convolutional layer in CNNs?,Layer that applies filters/kernels to detect local features while preserving spatial relationships,,Neural Networks,CNN convolutional-layer,,,,,,Uses shared weights and local connectivity to reduce parameters
What is pooling in CNNs?,Downsampling operation that reduces spatial dimensions while retaining important features,,Neural Networks,CNN pooling,,,,,,"Max pooling takes maximum value, average pooling takes mean value in each region"
What are CNN filters/kernels?,"Small matrices that slide over input to detect specific features like edges, textures, or patterns",,Neural Networks,CNN filters kernels,,,,,,Each filter learns to detect different features through backpropagation
What is stride in convolution?,Step size when moving the filter across the input - larger stride means smaller output,\[Output\_size = \frac{Input\_size - Filter\_size + 2*Padding}{Stride} + 1\],Neural Networks,CNN stride convolution,,,,,,"Stride of 1 preserves most spatial information, stride >1 reduces output size"
What is Mean Squared Error (MSE)?,Loss function measuring average squared differences between predicted and actual values,\[MSE = \frac{1}{n}\sum_{i=1}^{n}(y_i - \hat{y_i})^2\],ML Fundamentals,loss-function MSE regression,,,,,,"Used for regression problems, penalizes large errors more heavily"
What is cross-entropy loss?,Loss function measuring difference between predicted and actual probability distributions,\[CE = -\sum_{i=1}^{n} y_i \log(\hat{y_i})\],ML Fundamentals,loss-function cross-entropy classification,,,,,,"Used for classification, works well with softmax activation"
When to use MSE vs cross-entropy loss?,"MSE for regression problems (continuous outputs), cross-entropy for classification problems (probability outputs)",,ML Fundamentals,loss-function selection,,,,,,Choice depends on problem type and output layer activation function
What is the sigmoid activation function?,"Activation function that squashes input to range (0,1), commonly used for binary classification",\[\sigma(x) = \frac{1}{1 + e^{-x}}\],Neural Networks,activation-function sigmoid,,,,,,Can cause vanishing gradient problem in deep networks
What is the tanh activation function?,"Activation function that squashes input to range (-1,1), zero-centered version of sigmoid",\[tanh(x) = \frac{e^x - e^{-x}}{e^x + e^{-x}}\],Neural Networks,activation-function tanh,,,,,,Often works better than sigmoid due to zero-centered output
What is dropout in neural networks?,Regularization technique that randomly sets some neurons to zero during training to prevent overfitting,,Neural Networks,regularization dropout,,,,,,"Forces network to not rely on specific neurons, improves generalization"
What is batch normalization?,Technique that normalizes layer inputs to accelerate training and reduce internal covariate shift,\[BN(x) = \gamma \frac{x - \mu}{\sigma} + \beta\],Neural Networks,batch-normalization training,,,,,,Allows higher learning rates and makes network less sensitive to initialization
How do you determine the number of principal components to keep?,"Use scree plot (elbow method), cumulative explained variance threshold (e.g., 90%), or Kaiser criterion (eigenvalues > 1)",\[Cumulative\_Var = \frac{\sum_{i=1}^{k} \lambda_i}{\sum_{i=1}^{n} \lambda_i}\],PCA,PCA component-selection scree-plot,,,,,,Balance between dimensionality reduction and information preservation
What preprocessing is required before PCA?,"Standardize features to have zero mean and unit variance, handle missing values",\[z = \frac{x - \mu}{\sigma}\],PCA,PCA preprocessing standardization,,,,,,"Without standardization, features with larger scales dominate the principal components"
What are the assumptions and limitations of PCA?,"Assumes linear relationships, sensitive to scaling, components may not be interpretable, requires numerical data",,PCA,PCA assumptions limitations,,,,,,Works best when variables are correlated and relationships are linear
What is the elbow method for determining optimal k?,"Plot within-cluster sum of squares (WCSS) vs k, look for elbow where rate of decrease slows significantly",,Clustering,k-means elbow-method optimal-k,,,,,,Point where adding more clusters doesn't significantly reduce WCSS
